|||			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.|||			Please add a stock quantity of {4} to proceed with this entry.|||			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.|||			However, enabling this setting may lead to negative stock in the system.|||			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.,|||			تحتوي الدفعة {0} من العنصر {1} على مخزون سالب في المستودع {2}{3}.|||			الرجاء إضافة كمية مخزون {4} لمتابعة هذا الإدخال.|||			إذا لم يكن من الممكن إجراء إدخال تعديل، برجاء تمكين 'السماح بالمخزون السلبي للدفعة' في إعدادات المخزون للمتابعة.|||			على أية حال، تمكين هذا الإعداد قد يؤدي إلى مخزون سلبي في النظام.|||			لذا يرجى التأكد من تعديل مستويات المخزون في أقرب وقت ممكن للحفاظ على معدل التقييم الصحيح.,
 Opening Time,وقت الافتتاح,
 Service Type,نوع الخدمة,
 Unlink Payment on Cancellation of Employee Advance,إلغاء ربط الدفع عند إلغاء سلفة الموظف,
 {0} created (not submitted),تم إنشاء {0} (لم يتم الإرسال),
 {0} submitted,تم إرسال {0}.,
"From Date" can not be greater than or equal to "To Date",لا يمكن أن يكون "من التاريخ" أكبر من أو يساوي "إلى التاريخ",
"SN-01::10" for "SN-01" to "SN-10","SN-01::10" من "SN-01" إلى "SN-10",
$dayjs,$dayjs,
$employee,موظف $,
$translate,$ ترجمة,
% Process Loss,% خسارة العملية,
% Utilization (B + NB) / T,نسبة الاستخدام (B + NB) / T,
% Utilization (B / T),نسبة الاستخدام (ب/ت),
% of materials delivered against this Pick List,النسبة المئوية للمواد التي تم تسليمها وفقًا لقائمة الاختيار هذه,
),k=_(,),ك=_(,
),r=_(!1),G=_(,),r=_(!1),G=_(,
...Fetching Employees,...جلب الموظفين,
0 - 30 Days,0 - 30 يومًا,
0-30,0-30,
1 row from {0},صف واحد من {0},
1 row to {0},صف واحد إلى {0},
1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.,1-موضع البداية المفهرس لرمز الصنف في الباركود الكامل. مثال: بالنسبة لرمز الصنف 3310100 في 3310100010009، البداية هي 1.,
1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.,1-موضع البداية المفهرس لقطاع الوزن. مثال: في 3310100010009، يبدأ الوزن عند الموضع 8.,
1{0},1{0},
3 Yearly,3 سنويا,
30 - 60 Days,30 - 60 يوما,
60 - 90 Days,60 - 90 يومًا,
90 - 120 Days,90 - 120 يومًا,
<a href='/app/send-quotation/{0}'>Open Send Quotation</a>,<a href='/app/send-quotation/{0}'>فتح إرسال عرض الأسعار</a>,
<b>Base</b> amount has not been set for the following employee(s): {0},لم يتم تعيين المبلغ <b>الأساسي</b> للموظف (الموظفين) التاليين: {0},
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>الصف رقم{0}:</b> تحتوي الحزمة {1} في المستودع {2} على عناصر غير كافية:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,<b>إجمالي الإجازات المخصصة</b> أكبر من عدد الأيام في فترة التخصيص,
<div class="text-muted text-center">{0}</div>,<div class="text-muted text-center">{0}</div>,
